,accuracy,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,ideal model dist ↓,layer_number,relative_postion,perc_cluster,accuracy_cluster,index,dataset,finetune,type
379,0.528,0.004559236112982035,0.08982706069946289,0.4203038215637207,0.5368841015304323,11,77.0,4,1,enc_dec_pretr_decoder_not,not,yes,decoder
380,0.524,0.014293935149908066,0.0980755090713501,0.4303210973739624,0.5369973568299893,12,85.0,4,1,enc_dec_pretr_decoder_not,not,yes,decoder
381,0.508,0.0002779530477710068,0.0569741427898407,0.3840971291065216,0.5370041969741135,13,92.0,4,1,enc_dec_pretr_decoder_not,not,yes,decoder
382,0.516,0.0,0.0,0.3200320899486542,0.5098980170758017,1,0.0,1,1,enc_dec_pretr_table2_not,not,yes,encoder
383,0.556,0.04521941393613815,0.0654924064874649,0.37705785036087036,0.5529547571418271,2,8.0,1,1,enc_dec_pretr_table2_not,not,yes,encoder
384,0.548,0.039141274988651276,0.05440801382064819,0.382254421710968,0.5535703257851181,3,15.0,2,1,enc_dec_pretr_table2_not,not,yes,encoder
385,0.548,0.037713900208473206,0.08851706981658936,0.400034636259079,0.5706567779566529,4,23.0,2,1,enc_dec_pretr_table2_not,not,yes,encoder
386,0.5720000000000001,0.02205926552414894,0.08194227516651154,0.40413999557495117,0.5618175233863245,5,31.0,2,1,enc_dec_pretr_table2_not,not,yes,encoder
387,0.504,0.015373233705759048,0.18554624915122986,0.44639474153518677,0.5673497933885377,6,38.0,3,1,enc_dec_pretr_table2_not,not,yes,encoder
388,0.532,0.09546253085136414,0.2950853109359741,0.5695058703422546,0.6170336497813398,7,46.0,3,1,enc_dec_pretr_table2_not,not,yes,encoder
389,0.512,0.08578919619321823,0.35829612612724304,0.6313555240631104,0.6473156108727176,8,54.0,3,1,enc_dec_pretr_table2_not,not,yes,encoder
390,0.512,0.13040702044963837,0.41426515579223633,0.6462642550468445,0.6413555905365899,9,62.0,4,1,enc_dec_pretr_table2_not,not,yes,encoder
391,0.548,0.2950778603553772,0.5207597017288208,0.700905442237854,0.6825565465848626,10,69.0,4,1,enc_dec_pretr_table2_not,not,yes,encoder
392,0.568,0.3346945345401764,0.5331293940544128,0.7703462839126587,0.6630903166219086,11,77.0,4,1,enc_dec_pretr_table2_not,not,yes,encoder
393,0.576,0.3154723644256592,0.5115401744842529,0.6855034828186035,0.6484058209989074,12,85.0,4,1,enc_dec_pretr_table2_not,not,yes,encoder
394,0.56,0.15265236794948578,0.4235808551311493,0.645980179309845,0.6392577272020794,13,92.0,4,1,enc_dec_pretr_table2_not,not,yes,encoder
395,0.516,0.0,0.0,0.3200320899486542,0.5098980170758017,1,0.0,1,1,enc_dec_pretr_decoder_table2_not,not,yes,decoder
396,0.588,0.004827681928873062,0.030277758836746216,0.35976094007492065,0.5193671265449132,2,8.0,1,1,enc_dec_pretr_decoder_table2_not,not,yes,decoder
397,0.588,0.0056890277191996574,0.04724224656820297,0.3693789839744568,0.5288342976605319,3,15.0,2,1,enc_dec_pretr_decoder_table2_not,not,yes,decoder
398,0.584,0.0015988096129149199,0.029012132436037064,0.3690527677536011,0.5184111164931936,4,23.0,2,1,enc_dec_pretr_decoder_table2_not,not,yes,decoder
399,0.572,0.0009454682003706694,0.0193464457988739,0.34063875675201416,0.5162212967207096,5,31.0,2,1,enc_dec_pretr_decoder_table2_not,not,yes,decoder
400,0.58,0.00038277695421129465,0.013888725079596043,0.34295177459716797,0.5102446123898162,6,38.0,3,1,enc_dec_pretr_decoder_table2_not,not,yes,decoder
401,0.576,0.002208075486123562,0.02672058716416359,0.35883793234825134,0.5186092109998518,7,46.0,3,1,enc_dec_pretr_decoder_table2_not,not,yes,decoder
402,0.572,0.012292183935642242,0.04406537860631943,0.36729955673217773,0.5212551350298933,8,54.0,3,1,enc_dec_pretr_decoder_table2_not,not,yes,decoder
403,0.592,0.010415851138532162,0.060047805309295654,0.3836618959903717,0.5295835383461468,9,62.0,4,1,enc_dec_pretr_decoder_table2_not,not,yes,decoder
404,0.572,0.02006729319691658,0.06993159651756287,0.3818094730377197,0.5351468200781889,10,69.0,4,1,enc_dec_pretr_decoder_table2_not,not,yes,decoder
405,0.58,0.022320903837680817,0.07795852422714233,0.40041276812553406,0.5361743831405076,11,77.0,4,1,enc_dec_pretr_decoder_table2_not,not,yes,decoder
406,0.584,0.014539534226059914,0.05715753510594368,0.38745731115341187,0.5348165862990385,12,85.0,4,1,enc_dec_pretr_decoder_table2_not,not,yes,decoder
407,0.564,0.006176605820655823,0.04778242111206055,0.3724556565284729,0.5308416554378769,13,92.0,4,1,enc_dec_pretr_decoder_table2_not,not,yes,decoder
408,0.5381526104417671,-2.4948931809376518e-12,2.4948931809376518e-12,0.320036381483078,0.5098974911600582,1,0.0,1,1,decoder_base_orig,orig,no,decoder
409,0.5903614457831325,0.03612135350704193,0.08000226318836212,0.4118430018424988,0.5421361161744453,2,8.0,1,1,decoder_base_orig,orig,no,decoder
410,0.5622489959839357,0.165384441614151,0.24160870909690857,0.5178613662719727,0.5837427047627073,3,15.0,2,1,decoder_base_orig,orig,no,decoder
411,0.5180722891566265,0.1890462189912796,0.37760239839553833,0.5941780805587769,0.6121636422094041,4,23.0,2,1,decoder_base_orig,orig,no,decoder
412,0.5140562248995983,0.23339134454727173,0.3763270974159241,0.5982568860054016,0.633326733269595,5,31.0,2,1,decoder_base_orig,orig,no,decoder
413,0.5140562248995983,0.2366156280040741,0.39919114112854004,0.6247709393501282,0.639239995251285,6,38.0,3,1,decoder_base_orig,orig,no,decoder
