,accuracy,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,ideal model dist ↓,layer_number,relative_postion,perc_cluster,accuracy_cluster,index,dataset,finetune
19,0.6329787234042553,0.6461154222488403,0.7048410177230835,0.8896217346191406,0.7050969132221736,20,58.0,3,2,llama8b_ttt,ttt,no
20,0.5425531914893618,0.007099478505551815,0.010210083797574043,0.0746927410364151,0.6820877103651238,21,61.0,3,1,llama8b_ttt,ttt,no
21,0.648936170212766,0.6503106951713562,0.7840486168861389,0.87217116355896,0.6937077055040495,22,64.0,3,2,llama8b_ttt,ttt,no
22,0.6436170212765957,0.6207020282745361,0.7293131947517395,0.8110195398330688,0.6893906005997408,23,67.0,3,2,llama8b_ttt,ttt,no
23,0.6595744680851063,0.5184770822525024,0.6720284819602966,0.7924718260765076,0.690135268097392,24,70.0,4,2,llama8b_ttt,ttt,no
24,0.5425531914893617,0.01659105345606804,0.02512267604470253,0.13562621176242828,0.6768197887280897,25,73.0,4,1,llama8b_ttt,ttt,no
25,0.6436170212765957,0.4472656548023224,0.748035192489624,0.8776395320892334,0.7022021506116897,26,76.0,4,2,llama8b_ttt,ttt,no
26,0.6382978723404256,0.3963940739631653,0.76554274559021,0.8392990827560425,0.6977429776734856,27,79.0,4,2,llama8b_ttt,ttt,no
27,0.6382978723404256,0.3993538022041321,0.7483997941017151,0.8815502524375916,0.7029255201776338,28,82.0,4,2,llama8b_ttt,ttt,no
28,0.6382978723404256,0.38486096262931824,0.7054682970046997,0.891994833946228,0.7047550709262893,29,85.0,4,2,llama8b_ttt,ttt,no
29,0.6648936170212766,0.5220499038696289,0.6142833828926086,0.8519260883331299,0.7049492873133612,30,88.0,4,2,llama8b_ttt,ttt,no
30,0.648936170212766,0.36469516158103943,0.674116313457489,0.8500071167945862,0.7031687917597068,31,91.0,4,2,llama8b_ttt,ttt,no
31,0.5212765957446809,0.02342686615884304,0.04481205344200134,0.15681593120098114,0.6813417134925843,32,94.0,4,1,llama8b_ttt,ttt,no
32,0.5425531914893617,0.021402504295110703,0.03638738766312599,0.17352250218391418,0.6834959042571858,33,97.0,4,1,llama8b_ttt,ttt,no
33,0.5478723404255319,0.0,0.0,0.3200370967388153,0.5098974035082158,1,0.0,1,1,llama8b_not,not,no
34,0.5265957446808511,0.757233738899231,0.757233738899231,0.8691739439964294,0.6888822525105143,2,3.0,1,1,llama8b_not,not,no
35,0.5691489361702128,0.6309999227523804,0.702298641204834,0.8476001024246216,0.6981470719029511,3,6.0,1,1,llama8b_not,not,no
36,0.601063829787234,0.4380515217781067,0.5148398876190186,0.7198224663734436,0.6893747322134143,4,9.0,1,1,llama8b_not,not,no
37,0.5531914893617021,0.08991608768701553,0.08991608768701553,0.2565620243549347,0.704192551129777,5,12.0,1,1,llama8b_not,not,no
38,0.6170212765957447,0.49117428064346313,0.5469840168952942,0.6887487173080444,0.698985764094892,6,15.0,1,1,llama8b_not,not,no
39,0.5319148936170213,0.0005276783485896885,0.0006365782464854419,0.02359357662498951,0.7021884833668007,7,18.0,1,1,llama8b_not,not,no
40,0.5053191489361701,2.8750817364198156e-05,5.036017682868987e-05,0.0051161241717636585,0.5890654457761402,8,21.0,2,1,llama8b_not,not,no
41,0.5212765957446809,2.736512578849215e-05,4.416796218720265e-05,0.008509944193065166,0.7090442234949343,9,24.0,2,1,llama8b_not,not,no
42,0.5106382978723404,2.3672677343711257e-05,3.528970046318136e-05,0.0066240401938557625,0.7029457722928019,10,27.0,2,1,llama8b_not,not,no
43,0.5319148936170213,6.026156188454479e-05,0.00014510609616991132,0.011233597993850708,0.6619558272432463,11,30.0,2,1,llama8b_not,not,no
44,0.5106382978723405,2.1032921722508036e-05,3.1179948564385995e-05,0.005621719174087048,0.7058988155961947,12,33.0,2,1,llama8b_not,not,no
45,0.5265957446808511,2.016893631662242e-05,3.3345895644742996e-05,0.006013283971697092,0.7016807096711011,13,36.0,2,1,llama8b_not,not,no
46,0.5212765957446809,3.639292117441073e-05,6.295942148426548e-05,0.008328455500304699,0.665840092457942,14,39.0,2,1,llama8b_not,not,no
47,0.5053191489361701,6.771283369744197e-05,0.00010017943714046851,0.012423209846019745,0.6831376052300329,15,42.0,2,1,llama8b_not,not,no
48,0.5159574468085106,8.743976650293916e-05,9.179752669297159e-05,0.010881911963224411,0.6765172324773346,16,45.0,3,1,llama8b_not,not,no
49,0.5,0.000603273743763566,0.0007327297353185713,0.021888792514801025,0.7069321032644409,17,48.0,3,1,llama8b_not,not,no
50,0.5,0.0002479515678714961,0.000281272194115445,0.020800020545721054,0.6638999417595302,18,52.0,3,1,llama8b_not,not,no
51,0.7021276595744681,0.11575432121753693,0.15230624377727509,0.2747022807598114,0.6106982996889064,19,55.0,3,2,llama8b_not,not,no
52,0.75,0.13853804767131805,0.19445198774337769,0.37487611174583435,0.6480352467041121,20,58.0,3,3,llama8b_not,not,no
53,0.7765957446808511,0.11693383753299713,0.14563336968421936,0.38829973340034485,0.6423855980378167,21,61.0,3,3,llama8b_not,not,no
54,0.7393617021276595,0.15694010257720947,0.2049400508403778,0.49885255098342896,0.6638056173935251,22,64.0,3,2,llama8b_not,not,no
55,0.7446808510638299,0.1610814332962036,0.21455709636211395,0.45170530676841736,0.6721618212481254,23,67.0,3,2,llama8b_not,not,no
56,0.7393617021276596,0.19917620718479156,0.2662798762321472,0.4693824052810669,0.6959132749883369,24,70.0,4,2,llama8b_not,not,no
57,0.7553191489361702,0.1995730847120285,0.26225340366363525,0.47445419430732727,0.6318042736706019,25,73.0,4,3,llama8b_not,not,no
58,0.75,0.17148995399475098,0.27121156454086304,0.5019484162330627,0.6280353271746898,26,76.0,4,3,llama8b_not,not,no
59,0.7606382978723404,0.14298008382320404,0.266918808221817,0.506284236907959,0.6318067976316285,27,79.0,4,3,llama8b_not,not,no
60,0.7021276595744681,0.2349991500377655,0.472022145986557,0.6679589152336121,0.6990382600460544,28,82.0,4,2,llama8b_not,not,no
61,0.7287234042553192,0.22832483053207397,0.31613826751708984,0.5865366458892822,0.6454954739618401,29,85.0,4,2,llama8b_not,not,no
