accuracy,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,ideal model dist ↓,layer_number,relative_postion,perc_cluster,accuracy_cluster,index
0.5159574468085106,0.0005427068681456149,0.0006467923521995544,0.02478431910276413,0.6920734109539686,16,56.0,3,1,gemma2b_not
0.5159574468085106,0.001151295262388885,0.0011626508785411716,0.029301755130290985,0.6447813123102913,17,59.0,3,1,gemma2b_not
0.5212765957446809,0.0012626636307686567,0.0016075089806690812,0.03734542056918144,0.6938803179285205,18,63.0,3,1,gemma2b_not
0.5106382978723404,0.0008953294018283486,0.0012424789601936936,0.037701498717069626,0.686864493489498,19,67.0,3,1,gemma2b_not
0.5159574468085106,0.0022510334383696318,0.004080598242580891,0.05728022754192352,0.7071522426275816,20,70.0,4,1,gemma2b_not
0.5106382978723405,0.0020240056328475475,0.0033692503347992897,0.05891996994614601,0.5900376391707439,21,74.0,4,1,gemma2b_not
0.5159574468085106,0.002802635543048382,0.003829456400126219,0.06441724300384521,0.6237592216014188,22,78.0,4,1,gemma2b_not
0.6223404255319149,0.23638932406902313,0.33139923214912415,0.5656743049621582,0.6826219344007959,23,81.0,4,1,gemma2b_not
0.6542553191489362,0.29081884026527405,0.39466363191604614,0.5898885130882263,0.6908536535473656,24,85.0,4,2,gemma2b_not
0.6382978723404256,0.2664574980735779,0.3386702835559845,0.5912867188453674,0.681858991812293,25,89.0,4,2,gemma2b_not
0.6329787234042553,0.17981404066085815,0.46957725286483765,0.7011085748672485,0.68772354921018,26,93.0,4,2,gemma2b_not
0.6329787234042553,0.15266169607639313,0.3837904632091522,0.6104254126548767,0.6804517911002878,27,96.0,4,2,gemma2b_not
0.5381526104417671,0.0,0.0,0.3200336694717407,0.5098978242382849,1,0.0,1,1,gemma2b_orig
0.5903614457831325,0.08122573792934418,0.1135924831032753,0.4326951503753662,0.5610103843721702,2,4.0,1,1,gemma2b_orig
0.5983935742971888,0.16751565039157867,0.2651805281639099,0.49246078729629517,0.6565125741702482,3,7.0,1,1,gemma2b_orig
0.6224899598393574,0.24875281751155853,0.3354707360267639,0.5796018838882446,0.6892175844020862,4,11.0,1,1,gemma2b_orig
0.6626506024096386,0.3062390387058258,0.4315277338027954,0.6325006484985352,0.6980135058930548,5,15.0,1,2,gemma2b_orig
0.6385542168674698,0.2305627316236496,0.4621419310569763,0.6875756978988647,0.7017244385855386,6,19.0,2,2,gemma2b_orig
0.6626506024096386,0.029740851372480392,0.04854455962777138,0.2602202296257019,0.6744522454003944,7,22.0,2,2,gemma2b_orig
0.6666666666666667,0.03537470102310181,0.06385824084281921,0.19971024990081787,0.6461862464647654,8,26.0,2,2,gemma2b_orig
0.6586345381526104,0.023020269349217415,0.045020077377557755,0.20894268155097961,0.6731982489193911,9,30.0,2,2,gemma2b_orig
0.6706827309236948,0.02929416298866272,0.08506082743406296,0.25830838084220886,0.6770388418002105,10,33.0,2,2,gemma2b_orig
0.6746987951807228,0.025800278410315514,0.07327134162187576,0.23452237248420715,0.6206323158333749,11,37.0,2,2,gemma2b_orig
0.6706827309236948,0.025954419746994972,0.0726977288722992,0.22091349959373474,0.6286856516749115,12,41.0,2,2,gemma2b_orig
0.6746987951807228,0.05698058009147644,0.0936601385474205,0.2757350206375122,0.6768497074637277,13,44.0,3,2,gemma2b_orig
0.678714859437751,0.050297707319259644,0.08252362906932831,0.23669081926345825,0.600009783863766,14,48.0,3,2,gemma2b_orig
0.6827309236947792,0.055113986134529114,0.09180548042058945,0.30531635880470276,0.6726137338031687,15,52.0,3,2,gemma2b_orig
0.6746987951807228,0.05966378375887871,0.0843198299407959,0.2707776427268982,0.6125273593423183,16,56.0,3,2,gemma2b_orig
0.678714859437751,0.06494015455245972,0.0810847356915474,0.2523036003112793,0.6695576065291075,17,59.0,3,2,gemma2b_orig
0.6746987951807228,0.044722553342580795,0.05884731560945511,0.23056916892528534,0.6710589263136569,18,63.0,3,2,gemma2b_orig
0.8795180722891567,0.1393185555934906,0.20455318689346313,0.4315698444843292,0.5767101078315472,19,67.0,3,4,gemma2b_orig
0.8755020080321285,0.1544211059808731,0.23487588763237,0.47029295563697815,0.586702737872726,20,70.0,4,4,gemma2b_orig
0.8714859437751004,0.12709082663059235,0.1948169767856598,0.46958422660827637,0.6684030352656847,21,74.0,4,3,gemma2b_orig
0.8674698795180723,0.11263357847929001,0.21078118681907654,0.5275501012802124,0.6707705161446273,22,78.0,4,3,gemma2b_orig
0.8594377510040161,0.10872937738895416,0.1955716907978058,0.43071281909942627,0.5679024474317294,23,81.0,4,3,gemma2b_orig
0.8674698795180723,0.1295468658208847,0.186172753572464,0.47894835472106934,0.6703599989678328,24,85.0,4,3,gemma2b_orig
0.8755020080321285,0.14483320713043213,0.21732330322265625,0.48783478140830994,0.6567660498037133,25,89.0,4,4,gemma2b_orig
0.8634538152610441,0.21313345432281494,0.2832692563533783,0.567184567451477,0.6125627232525443,26,93.0,4,3,gemma2b_orig
0.8594377510040161,0.17599835991859436,0.28597283363342285,0.4693317413330078,0.6064513279782848,27,96.0,4,3,gemma2b_orig
0.5478723404255319,0.0,0.0,0.32003387808799744,0.5098978008641644,1,0.0,1,1,gemma2b-it_ttt
0.5053191489361701,0.0648796334862709,0.08687593042850494,0.40724360942840576,0.5583339839167347,2,4.0,1,1,gemma2b-it_ttt
0.5478723404255319,0.44476306438446045,0.526939332485199,0.6791559457778931,0.6452692350259901,3,7.0,1,1,gemma2b-it_ttt
0.5797872340425532,0.16599959135055542,0.2258462905883789,0.4927114248275757,0.6610499306524147,4,11.0,1,1,gemma2b-it_ttt
0.5638297872340425,0.20862466096878052,0.5527712106704712,0.7901964783668518,0.6700177721096358,5,15.0,1,1,gemma2b-it_ttt
0.5585106382978724,0.4746548533439636,0.5867825746536255,0.7360740303993225,0.7003516509146852,6,19.0,2,1,gemma2b-it_ttt
0.5904255319148937,0.39966243505477905,0.537898063659668,0.6921612024307251,0.7048945340425731,7,22.0,2,1,gemma2b-it_ttt
0.6223404255319149,0.3576125204563141,0.4627912640571594,0.6517243385314941,0.6766775703155765,8,26.0,2,1,gemma2b-it_ttt
0.5797872340425532,0.5444406270980835,0.743030309677124,0.8803918361663818,0.7048144200682709,9,30.0,2,1,gemma2b-it_ttt
0.5851063829787234,0.7915025949478149,0.8956599235534668,0.9302703738212585,0.7055560629997394,10,33.0,2,1,gemma2b-it_ttt
0.5319148936170213,0.0019334577955305576,0.0019334577955305576,0.04875321686267853,0.8759360041835913,11,37.0,2,1,gemma2b-it_ttt
0.5851063829787234,0.7842575907707214,0.9291822910308838,0.9479977488517761,0.7013334282594137,12,41.0,2,1,gemma2b-it_ttt
0.574468085106383,0.7412519454956055,0.8858012557029724,0.9604455828666687,0.7046774386970701,13,44.0,3,1,gemma2b-it_ttt
0.574468085106383,0.8923377394676208,0.9499073028564453,0.9738878607749939,0.7042152460886163,14,48.0,3,1,gemma2b-it_ttt
0.5797872340425532,0.9400131702423096,0.9634065628051758,0.9810582995414734,0.7067540792061432,15,52.0,3,1,gemma2b-it_ttt
0.5904255319148937,0.8840705156326294,0.9679141044616699,0.9876250624656677,0.7044251591927487,16,56.0,3,1,gemma2b-it_ttt
0.5904255319148937,0.810400128364563,0.949052095413208,0.9754323959350586,0.7062430770207376,17,59.0,3,1,gemma2b-it_ttt
